text,type,freq,current_candidate,surface_form,in_predictions,context
amyloidosis di truyền,CHẨN_ĐOÁN,3,E85.2,amyloidosis di truyền,1,"Mặc dù bệnh thoái hóa tinh bột không được xếp thành một loại ung thư, bệnh lại có thể liên quan đến một số bệnh ung thư máu như đa u tủy. Có nhiều loại amyloidosis khác nhau, bao gồm những loại sau: • Bệnh amyloidosis chuỗi nhẹ • Bệnh amyloidosis tự miễn dịch • Bệnh amyloidosis di truyền hoặc gia đình Bệnh thoái hóa tinh bột là một bệnh đa hệ thống dẫn đến nhiều biểu hiện lâm sàng khác nhau, Hiện  || - Ăn uống kém, ăn vào dễ nôn. - Nôn không ra máu, không ra dịch mật • Bệnh amyloidosis chuỗi nhẹ • Bệnh amyloidosis tự miễn dịch • Bệnh amyloidosis di truyền hoặc gia đình Bệnh thoái hóa tinh bột là một bệnh đa hệ thống dẫn đến nhiều biểu hiện lâm sàng khác nhau, Hiện nay chưa có phương pháp điều trị tận gốc amyloidosis.Tuy nhiên, các phương pháp điều trị có thể giúp bạn kiểm soát các triệu chứng "
amyloidosis tự miễn dịch,CHẨN_ĐOÁN,3,E85.9,amyloidosis tự miễn dịch,1,"Mặc dù bệnh thoái hóa tinh bột không được xếp thành một loại ung thư, bệnh lại có thể liên quan đến một số bệnh ung thư máu như đa u tủy. Có nhiều loại amyloidosis khác nhau, bao gồm những loại sau: • Bệnh amyloidosis chuỗi nhẹ • Bệnh amyloidosis tự miễn dịch • Bệnh amyloidosis di truyền hoặc gia đình Bệnh thoái hóa tinh bột là một bệnh đa hệ thống dẫn đến nhiều biểu hiện lâm sàng khác nhau, Hiện  || - Ăn uống kém, ăn vào dễ nôn. - Nôn không ra máu, không ra dịch mật • Bệnh amyloidosis chuỗi nhẹ • Bệnh amyloidosis tự miễn dịch • Bệnh amyloidosis di truyền hoặc gia đình Bệnh thoái hóa tinh bột là một bệnh đa hệ thống dẫn đến nhiều biểu hiện lâm sàng khác nhau, Hiện nay chưa có phương pháp điều trị tận gốc amyloidosis.Tuy nhiên, các phương pháp điều trị có thể giúp bạn kiểm soát các triệu chứng "
amyloidosis),CHẨN_ĐOÁN,3,,amyloidosis),1,Câu hỏi từ người dùng: Em bị Rối loạn chuyển hóa tinh bột (amyloidosis) đã lâu. Có dùng thuốc tại viện da liễu trung ương nhưng không thấy đỡ.
bệnh bàn chân bẹt,CHẨN_ĐOÁN,3,M21.4,bệnh bàn chân bẹt,1,"Khi nhân viên cấp cứu đến nơi, bệnh nhân bắt đầu tỉnh táo trở lại và hồi phục hoàn toàn về trạng thái ban đầu. Theo như mô tả của Bạn cháu bé bị bệnh bàn chân bẹt, đây là tật bẩm sinh không ảnh hưởng nhiều đến sức khỏe. Hiện tại cháu chạy nhảy bình thường, không đau, chưa có chỉ định phẫu thuật, Tuy nhiên bạn nên cho cháu đến bệnh viện để kiểm tra đánh giá bất thường về xương, khám lâm sàng để đán || Cháu xin cảm ơn bác! Trả lời: Theo như mô tả của Bạn cháu bé bị bệnh bàn chân bẹt, đây là tật bẩm sinh không ảnh hưởng nhiều đến sức khỏe. Hiện tại cháu chạy nhảy bình thường, không đau, chưa có chỉ định phẫu thuật, Tuy nhiên bạn nên cho cháu đến bệnh viện để kiểm tra đánh giá bất thường về xương, khám lâm sàng để đánh giá các thiếu hụt về phần mềm, trên cơ sở đó chúng tôi sẽ có các hướng dẫn cụ t"
hội chứng ruột kích thích,CHẨN_ĐOÁN,3,K58.8,hội chứng ruột kích thích,1,"- Nôn ra máu trong 2 ngày qua Bệnh lý mãn tính: hội chứng ruột kích thích (được chẩn đoán hội chứng ruột kích thích cách đây vài năm) Tiền sử phẫu thuật / thủ thuật || Diễn biến bệnh - Triệu chứng cách đây vài năm: tái phát buồn nôn và tiêu chảy, chẩn đoán hội chứng ruột kích thích, phát hiện loét tá tràng khi nội soi. - Trong năm nay: không thể giữ được bất cứ thứ gì, chẩn đoán viêm dạ dày ruột do virus."
lyssavirus,CHẨN_ĐOÁN,3,A82.9,Lyssavirus,1,"Bệnh dại có lây không? Bệnh dại do Lyssavirus, thuộc họ Lyssaviridae gây ra. Sau khi xâm nhập vào cơ thể người và động vật có vú, virus di chuyển theo hệ thần kinh vào tủy sống và não, phá hủy các trung khu thần kinh trong đại não, gây ra trạng thái điên dạiở động vật và người. || Bệnh dại có lây không? Bệnh dại do Lyssavirus, thuộc họ Lyssaviridae gây ra. Sau khi xâm nhập vào cơ thể người và động vật có vú, virus di chuyển theo hệ thần kinh vào tủy sống và não, phá hủy các trung khu thần kinh trong đại não, gây ra trạng thái điên dại ở động vật và người."
mụn cám,CHẨN_ĐOÁN,3,L70.0,mụn cám,1,"Đến năm lớp 11 cháu đi khám da liễu, thì sau khoảng 3 tháng điều trị da cháu ít dầu hơn và dường như không còn mụn. Nhưng sau 6 tháng da cháu bắt đầu lên mụn trở lại gồm mụn ở trán, má, 2 bên quai hàm và cằm, hầu như là mụn cám và mụn đầu trắng. Cháu không biết có nên đi khám lại không vì lo ngại thuốc sẽ ảnh hưởng đến sức khoẻ sinh sản cộng thêm việc khám sau một thời gian lên lại mụn thì rất tốn"
mụn đầu trắng,CHẨN_ĐOÁN,3,L70.0,mụn đầu trắng,1,"Đến năm lớp 11 cháu đi khám da liễu, thì sau khoảng 3 tháng điều trị da cháu ít dầu hơn và dường như không còn mụn. Nhưng sau 6 tháng da cháu bắt đầu lên mụn trở lại gồm mụn ở trán, má, 2 bên quai hàm và cằm, hầu như là mụn cám và mụn đầu trắng. Cháu không biết có nên đi khám lại không vì lo ngại thuốc sẽ ảnh hưởng đến sức khoẻ sinh sản cộng thêm việc khám sau một thời gian lên lại mụn thì rất tốn"
não úng thủy,CHẨN_ĐOÁN,3,G91.9,não úng thủy,1,"- Bệnh nhân bị não úng tuỷ từ thời kỳ sơ sinh, được điều trị bằng cách đặt dẫn lưu shunt - Trước đây đã từng nhập viện với chẩn đoán não úng thủy, có biểu hiện tăng đau đầu , triệu chứng cải thiện khi nằm ngửa. - Nhập viện trước đây vào khoa Thần kinh để điều trị chứng đau đầu."
não úng tuỷ,CHẨN_ĐOÁN,3,G91.9,não úng tuỷ,1,"Diễn biến bệnh - Bệnh nhân bị não úng tuỷ từ thời kỳ sơ sinh, được điều trị bằng cách đặt dẫn lưu shunt - Trước đây đã từng nhập viện với chẩn đoán não úng thủy, có biểu hiện tăng đau đầu , triệu chứng cải thiện khi nằm ngửa."
rối loạn chuyển hóa tinh bột,CHẨN_ĐOÁN,3,E85.9,Rối loạn chuyển hóa tinh bột,1,Câu hỏi từ người dùng: Em bị Rối loạn chuyển hóa tinh bột (amyloidosis) đã lâu. Có dùng thuốc tại viện da liễu trung ương nhưng không thấy đỡ.
suy các cơ quan,CHẨN_ĐOÁN,3,R65.9,suy các cơ quan,1,"Khi lượng protein amyloid lắng đọng tăng lên, chúng sẽ phá vỡ cấu trúc và gây cản trở chức năng sinh lý của mô hoặc cơ quan. Cuối cùng, sự lắng đọng protein amyloid sẽ bắt đầu gây ra các triệu chứng và suy các cơ quan, thậm chí có thể gây tử vong. Tình trạng lắng đọng của protein amyloid trong bệnh thoái hóa tinh bột có thể khu trú ở bất kỳ cơ quan nào trong cơ thể, chẳng hạn như phổi, da, bàng qu || Khi lượng protein amyloid lắng đọng tăng lên, chúng sẽ phá vỡ cấu trúc và gây cản trở chức năng sinh lý của mô hoặc cơ quan. Cuối cùng, sự lắng đọng protein amyloid sẽ bắt đầu gây ra các triệu chứng và suy các cơ quan, thậm chí có thể gây tử vong. - Bệnh bạch cầu dòng tủy mãn tính đang dùng gleevec"
suy giảm miễn dịch,CHẨN_ĐOÁN,3,D84.9,Suy giảm miễn dịch,1,"- Tăng liều bactrim (do bác sĩ chăm sóc chính kê đơn) - doxycycline (do bác sĩ chăm sóc chính kê đơn) - Suy giảm miễn dịch do sử dụng corticoid kéo dài 2. Tiền sử bệnh hiện tại || Viêm phổi là tình trạng viêm phế quản, phế nang, giai đoạn đầu là xuất tiết dịch, nếu điều trị sớm và kịp thời thì sẽ nhanh chóng hết với những cơ thể có sức đề kháng bình thường. Viêm phổi tiến triển nặng là giai đoạn sau, có thể do nhiễm vi khuẩn nặng, thuốc kháng sinh không đáp ứng hay cơ thể có sức đề kháng yêu, suy giảm miễn dịch và hoại tử nhu mô phổi. Viêm phổi hoại tử: là một thể nặng của "
"suy tim, không đặc hiệu",CHẨN_ĐOÁN,3,I50.9,"suy tim, không đặc hiệu",1,"1. Tiền sử bệnh Các bệnh lý mạn tính - rung nhĩ - tăng huyết áp - suy tim, không đặc hiệu - béo phì Cháu năm nay 18 tuổi da rất nhiều dầu và bị mụn trứng cá từ năm lớp 8. || - ngừng thở khi ngủ - tiền sử lâm sàng suy tim, không đặc hiệu Dị ứng: Dị ứng furosemide"
sỏi mật,CHẨN_ĐOÁN,3,K80.8,sỏi mật,1,"- siêu âm vùng gan mật cho thấy sỏi mật nhưng không có viêm túi mật hoặc sỏi ống mật (lần nhập viện trước) - chụp ct bụng chậu là chưa phát hiện bất thường (lần nhập viện trước) - siêu âm vùng gan mật hiện tại cho thấy túi mật căng to với dịch quanh túi mật gợi ý viêm túi mật cấp || trúc vi nang Triệu chứng hiện tại: đau vùng hạ sườn phải Các sự kiện trước khi nhập viện - siêu âm cho thấy sỏi mật 5. Zestril 10mg x 1 viên, uống sáng."
tan huyết,CHẨN_ĐOÁN,3,D59.9,tan huyết,1,"Đặc biệt, nếu trẻ sơ sinh bị vàng da nặng sau khoảng 2 tuần tuổi, các tổn thương thần kinh có thể rất nghiêm trọng, gây bại não, chậm phát triển trí tuệ và vận động. Với những trường hợp biểu hiện nhẹ, trẻ chỉ cần được theo dõi, tránh các yếu tố gây tan huyết và tình trạng thiếu máu thường sẽ ổn định. Tuy nhiên, nếu các triệu chứng rõ ràng và nặng, trẻ cần được nhập viện để điều trị kịp thời. || Nếu không được điều trị và theo dõi đúng cách, tình trạng thiếu máu tan huyết kéo dài kèm vàng da sơ sinh sẽ trở thành vấn đề nghiêm trọng, ảnh hưởng lâu dài đến sức khỏe và sự phát triển của trẻ. Vì vậy, khi phát hiện trẻ bị thiếu men G6PD thông qua sàng lọc sớm, phụ huynh cần tuân thủ hướng dẫn của bác sĩ, đặc biệt là tránh các tác nhân gây tan huyết như đậu tằm, thuốc và thực phẩm có tính oxy h"
thrombophilia,CHẨN_ĐOÁN,3,D68.5,thrombophilia,1,Chào bác sĩ em năm nay 27t đã có 1 bé gái. Sau 2 lần sảy thai thì em đi xét nghiệm máu bác sĩ nói là em bị hội chứng tăng đông hay còn gọi là gen đông máu tên y học là thrombophilia .bác sĩ nói nếu em muốn có con thì sau khi que thử 2 vạch báo nay để bác sĩ tiêm thuốc chống đông máu cho em. Em muốn hỏi là bệnh thrombophilia có nghiêm trọng lắm không ạ? || Sau 2 lần sảy thai thì em đi xét nghiệm máu bác sĩ nói là em bị hội chứng tăng đông hay còn gọi là gen đông máu tên y học là thrombophilia .bác sĩ nói nếu em muốn có con thì sau khi que thử 2 vạch báo nay để bác sĩ tiêm thuốc chống đông máu cho em. Em muốn hỏi là bệnh thrombophilia có nghiêm trọng lắm không ạ? Có ảnh hưởng đến sức khỏe và cuộc sống đời thườn
tiền sản giật,CHẨN_ĐOÁN,3,O14.9,tiền sản giật,1,"Nguyên nhân là do đột biến gây ra. Trong giai đoạn mang thai, để tránh tình trạng sẩy thai, sinh non, tiền sản giật....thì bác sỹ thường kê thuốc chống đông cho bạn. Thuốc chống đông này cần chú ý phải dừng ngay khi có dấu hiệu ra máu bất thường hoặc nên dừng trước tuần thai 36 để tránh tình trạng chảy máu khó cầm (việc này bạn nên theo hướng dẫn của bác sỹ sản khoa). || Chào bạn, ************ được khuyến cáo đối với những sản phụ có nguy cơ tiền sản giật cao để phòng ngừa tiền sản giật và những biến chứng liên quan đến tiền sản giật. Tuy nhiên, ******* là thuốc có tác dụng chống đông máu do đó tác dụng phụ của thuốc là có thể gây chảy máu."
tiểu đường,CHẨN_ĐOÁN,3,E14.9,tiểu đường,1,"Hôi miệng và chảy máu chân răng còn có thể do cơ thể thiếu hụt vitamin K. - Tiểu đường: Hôi miệng và chảy máu chân răng là dấu hiệu của bệnh tiểu đường. Nguyên nhân là do cơ thể sẽ giảm sản xuất insulin nên người bị tiểu đường suy yếu hệ miễn dịch, dễ gặp phải các vấn đề về răng miệng. || - Tiểu đường: Hôi miệng và chảy máu chân răng là dấu hiệu của bệnh tiểu đường. Nguyên nhân là do cơ thể sẽ giảm sản xuất insulin nên người bị tiểu đường suy yếu hệ miễn dịch, dễ gặp phải các vấn đề về răng miệng. Tình trạng khó đông máu khiến chân răng chảy máu kéo dài do nồng độ đường trong máu cao."
tăng bilirubin máu,CHẨN_ĐOÁN,3,E80.6,tăng bilirubin máu,1,"3. Đánh giá tại bệnh viện Kết quả xét nghiệm - ast 421 - alt 336 - alp 185 - bilirubin toàn phần 0.9 - total bili bắt đầu tăng lên đạt đỉnh 6.7 - bảng xét nghiệm viêm gan virus là âm tính - ferritin là bình thường - ceruloplasmin vẫn đang chờ kết quả đang chờ kết quả tại thời điểm chuyển viện Kết quả chẩn đoán hình ảnh - siêu âm bụng có doppler âm tính âm tính - âm tính chụp hida - ercp cho thấy t || - Tại bệnh viện OSH, phát hiện tăng men gan với tăng bilirubin máu: ast 421, alt 336, alp 185, bilirubin toàn phần 0.9 - âm tính siêu âm bụng có doppler - âm tính chụp hida - Chưa từng xét nghiệm nồng độ acetaminophen - Chưa từng dùng nac - Chuyển tạm thời để thực hiện ercp - ercp cho thấy túi mật giãn nở rõ rệt nhưng không có sỏi hoặc bệnh lý khác - Chuyển lại bệnh viện OSH và được cho là đã tống"
tụt huyết áp,CHẨN_ĐOÁN,3,I95.9,tụt huyết áp,1,"2. Bệnh sử hiện tại Lý do nhập viện: tụt huyết áp không rõ nguyên nhân và mệt mỏi Thời điểm khởi phát triệu chứng: vài ngày mệt mỏi Diễn biến bệnh - Bệnh nhân nhập viện, quá trình điều trị biến chứng bởi Viêm phổi bệnh viện và rung nhĩ và nhịp nhanh trên thất, sau đó xuất viện về trung tâm phục hồi chức năng. - Bệnh nhân tái khám tại phòng khám vào ngày hẹn để cắt bỏ các mũi kẹp còn lại và thay th || trong bệnh mạch vành. Thuốc được thải ra khỏi cơ thể nhanh và không tích lũy nên không gây hại khi dùng lâu dài, nhưng trái lại thuốc này có nhiều tác dụng phụ rất thường hay gặp (vì tác dụng phụ này gây ra do đặc tính của thuốc) đó là: đau đầu, chóng mặt, buồn nôn, đỏ mặt, và tác dụng tụt huyết áp thế đứng. Nếu Mẹ bạn khi dùng thuốc có một trong các tác dụng phụ nói trên thì nên báo với bác sĩ để"
ung thư biểu mô tuyến,CHẨN_ĐOÁN,3,C24.0,ung thư biểu mô tuyến,1,"- Cả hai ống dẫn mật đều được tăng kích cỡ từ 8.5fr lên 10.2 fr vào thời điểm đó. - Đã thực hiện sinh thiết và lấy mẫu bằng bàn chải vào ngày [Ngày] và kết quả lấy mẫu bằng bàn chải cho thấy tế bào bất thường, đáng ngại cho ung thư biểu mô tuyến. - Thảo luận tại cuộc họp [Tên cuộc họp] vào ngày [Ngày] và quyết định rằng bệnh nhân nên được đặt stent thành vách vĩnh viễn. || - Đã thực hiện sinh thiết và lấy mẫu bằng bàn chải vào ngày [Ngày] và kết quả lấy mẫu bằng bàn chải cho thấy các tế bào bất thường, đáng lo ngại cho ung thư biểu mô tuyến. - Thảo luận tại cuộc họp [Tên cuộc họp] vào ngày [Ngày] và quyết định rằng bệnh nhân nên được đặt stent thành vách vĩnh viễn. 3."
vi-rút dại,CHẨN_ĐOÁN,3,A82.9,Vi-rút dại,1,Bệnh dại lây truyền qua đường nào? Vi-rút dại chủ yếu được lây truyền từ nước bọt của các loài động vật bị dại sang người qua vết cắn hoặc qua vết trầy xước trên cơ thể con người. - 96% các trường hợp gây bệnh dại ở người tại Đông Nam Á là do chó cắn.
viêm nha chu,CHẨN_ĐOÁN,3,K05.6,Viêm nha chu,1,"- Viêm quanh răng: Các mô bao quanh cuống răng bị viêm và sưng do nhiễm vi khuẩn, sang chấn răng. - Viêm nha chu: Đây là dạng nhiễm trùng lợi nặng, các triệu chứng gồm đau khi nhai, răng lung lay, sưng nướu, dễ chảy máu răng, hôi miệng, có mủ. Viêm nha chu nếu để kéo dài, chân răng có thể bị hư hại dẫn đến tình trạng mất răng hoặc viêm khớp dạng thấp, các bệnh hô hấp, đột quỵ,... || - Viêm nha chu: Đây là dạng nhiễm trùng lợi nặng, các triệu chứng gồm đau khi nhai, răng lung lay, sưng nướu, dễ chảy máu răng, hôi miệng, có mủ. Viêm nha chu nếu để kéo dài, chân răng có thể bị hư hại dẫn đến tình trạng mất răng hoặc viêm khớp dạng thấp, các bệnh hô hấp, đột quỵ,... - Thiếu canxi và vitamin: Thiếu hụt canxi dễ gây loãng xương, sâu răng và có nguy cơ bị viêm nha chu."
viêm túi mật cấp,CHẨN_ĐOÁN,3,K81.0,viêm túi mật cấp,1,rước. - Được thực hiện siêu âm vùng gan mật tại phòng cấp cứu cho thấy túi mật căng to với dịch quanh túi mật gợi ý viêm túi mật cấp. 3. Đánh giá tại bệnh viện Kết quả laboratory - lipase là tăng lên ở mức 623 (lần nhập viện trước) - tăng || thường (lần nhập viện trước) - siêu âm vùng gan mật hiện tại cho thấy túi mật căng to với dịch quanh túi mật gợi ý viêm túi mật cấp Các phát hiện chẩn đoán khác: lo ngại viêm túi mật cấp
viêm tủy xương mãn tính,CHẨN_ĐOÁN,3,M86.9,viêm tủy xương mãn tính,1,1. Tiền sử bệnh - viêm tủy xương mãn tính và bàng quang thần kinh gây biến chứng liệt hai chi dưới và loét tì đè giai đoạn IV mãn tính - đặt lưu sonde tiểu gây nhiễm khuẩn đường tiết niệu tái phát Thuốc đã dùng trước đây - Đã sử dụngvancozosyn nhưng hiện tại đang dừng. Sau khi khám chuyên khoa Truyền nhiễm đang dùng bactrim để điều trị nhiễm khuẩn đường tiết niệu || Bệnh sử hiện tại Lý do nhập viện: sốt cao Cách ngày vào viện 2 tuần bệnh nhân đã vào viện vì hạ huyết áp và được chẩn đoán nhiễm trùng huyết điều trị bằng kháng sinh vancozosynbactrim điều trị bệnh viêm tuỷ xương. Sau đó dùng zosyn 8 ngày và dừng tất cả kháng sinh để điều trị viêm tủy xương mãn tính tại khoa Hồi sức tích cực. Ra viện và tái khám không sử dụng thuốc kháng sinh vì khám lâm sàng ổn
áp xe phổi,CHẨN_ĐOÁN,3,J85.2,áp xe phổi,1,"Hỏi : Dạ cho em hỏi viêm phổi hoại tử có phải là giai đoạn nặng của viêm phổi và tiến triển tiếp theo là hình thành áp xe phổi. Hay là VP và VPHT là hai bệnh có cơ chế bệnh sinh khác nhau ạ. || Viêm phổi hoại tử: là một thể nặng của bệnh lý phổi với sự hình thành của các hang nhỏ, áp-xe nhỏ (<2cm) trong nhu mô phổi, thường không kèm theo tổn thương màng phổi đáng kể. Áp xe phổi: là một tình trạng nung mủ, hoại tử chủ mô phổi sau một quá trình viêm cấp. Cơ chế: Lúc đầu trong nhu mô phổi bị viêm xuất hiện một hay nhiều ổ viêm hóa mủ, nhu mô phổi bị đông đặc, nếu điều trị ở giai đoạn này th"
amyloidosis chuỗi nhẹ,CHẨN_ĐOÁN,2,,amyloidosis chuỗi nhẹ,1,"Mặc dù bệnh thoái hóa tinh bột không được xếp thành một loại ung thư, bệnh lại có thể liên quan đến một số bệnh ung thư máu như đa u tủy. Có nhiều loại amyloidosis khác nhau, bao gồm những loại sau: • Bệnh amyloidosis chuỗi nhẹ • Bệnh amyloidosis tự miễn dịch • Bệnh amyloidosis di truyền hoặc gia đình Bệnh thoái hóa tinh bột là một bệnh đa hệ thống dẫn đến nhiều biểu hiện lâm sàng khác nhau, Hiện  || Mặc dù bệnh thoái hóa tinh bột không được xếp thành một loại ung thư, bệnh lại có thể liên quan đến một số bệnh ung thư máu như đa u tủy. Có nhiều loại amyloidosis khác nhau, bao gồm những loại sau: • Bệnh amyloidosis chuỗi nhẹ • Bệnh amyloidosis tự miễn dịch - Vị trí: LLQ"
bàng quang thần kinh,CHẨN_ĐOÁN,2,N31.9,bàng quang thần kinh,1,1. Tiền sử bệnh - viêm tủy xương mãn tính và bàng quang thần kinh gây biến chứng liệt hai chi dưới và loét tì đè giai đoạn IV mãn tính - đặt lưu sonde tiểu gây nhiễm khuẩn đường tiết niệu tái phát Thuốc đã dùng trước đây - Đã sử dụngvancozosyn nhưng hiện tại đang dừng. Sau khi khám chuyên khoa Truyền nhiễm đang dùng bactrim để điều trị nhiễm khuẩn đường tiết niệu || Tiền sử bệnh nội khoa Các bệnh lý mãn tính: viêm tủy xương và bàng quang thần kinh có biến chứng liệt hai chi dưới 2.
béo phì do có nhiều nếp gấp da,CHẨN_ĐOÁN,2,E66.9,béo phì do có nhiều nếp gấp da,1,"mentagrophytes. Các yếu tố nguy cơ chính liên quan đến môi trường ẩm ướt (thời tiết nóng, quần áo ướt và chật, chứng béo phì do có nhiều nếp gấp da). Bệnh do nhiễm nấm da mà thành nên để điều trị nấm bẹn bạn phải được sử dụng thuốc kháng nấm dạng bôi hoặc dạng uống theo chỉ định của bác sĩ da liễu với liệu trình điều trị từ 1-4 tuần."
bệnh ba thân động mạch vành,CHẨN_ĐOÁN,2,I25.1,bệnh ba thân động mạch vành,1,"Cận lâm sàng: Kết quả chẩn đoán hình ảnh - Đo sức bền cơ tim bằng đồng vị phóng xạ kết quả có dị tật cố định vùng trước vách và vách dưới với giảm chức năng tâm thu thất trái nghiêm trọng kèm theo rối loạn chức năng thất trái. - Chụp động mạch vành cho thấy bệnh ba thân động mạch vành nghiêm trọng Các thủ thuật đã thực hiện - Chụp động mạch vành can thiệp Câu trả lời của bác sĩ: Viêm hang vị sung  || Lúc vào viện khám Bệnh nhân tỉnh - mệt mỏi - Khó thở tăng khi vận động gắng sức - Đi lại khó khăn, cần dùng gậy hỗ trợ đi lại - Đau hai bàn chân do bệnh lý thần kinh ngoại biên Cận lâm sàng: Kết quả chẩn đoán hình ảnh - Đo sức bền cơ tim bằng đồng vị phóng xạ kết quả có dị tật cố định vùng trước vách và vách dưới với giảm chức năng tâm thu thất trái nghiêm trọng kèm theo rối loạn chức năng thất tr"
bệnh dại ở,CHẨN_ĐOÁN,2,,bệnh dại ở,1,"Nơi bị chó cắn càng gần thần kinh trung ương thì nạn nhân càng phát bệnh nhanh. - Thế giới ghi nhận việc lây bệnh qua không khí có thể xảy ra khi ở trong hang dơi hay tiếp xúc với chất thải của dơi, việc lây bệnh qua không khí này đã được ghi nhận tại 4 báo cáo về ca mắc bệnh dại ở người và liên quan tới công việc thí nghiệm với động vật. Tuy nhiên các ca mắc dạng này chưa ghi nhận tại Việt Nam. || - Thế giới ghi nhận việc lây bệnh qua không khí có thể xảy ra khi ở trong hang dơi hay tiếp xúc với chất thải của dơi, việc lây bệnh qua không khí này đã được ghi nhận tại 4 báo cáo về ca mắc bệnh dại ở người và liên quan tới công việc thí nghiệm với động vật. Tuy nhiên các ca mắc dạng này chưa ghi nhận tại Việt Nam."
bệnh gan do rượu,CHẨN_ĐOÁN,2,K70.9,Bệnh gan do rượu,1,- Viêm loét đại tràng trong nhiều năm qua - bằng chứng Bệnh gan do rượu ở vị trí 35cm Tiền sử phẫu thuật / thủ thuật: đã phẫu thuật tạo hậu môn nhân tạo kiểu túi nối hồi tràng - hậu môn
bệnh lý thần kinh ngoại biên,CHẨN_ĐOÁN,2,G62.9,bệnh lý thần kinh ngoại biên,1,"1. Tiền sử bệnh Bệnh lý mãn tính: bệnh động mạch vành, bệnh lý thần kinh ngoại biên 2. || Trong vòng một năm qua bệnh nhân thi thoảng xuất hiện mệt mỏi, nhất là khi vận động gắng sức khó thở tăng. Lúc vào viện khám Bệnh nhân tỉnh - mệt mỏi - Khó thở tăng khi vận động gắng sức - Đi lại khó khăn, cần dùng gậy hỗ trợ đi lại - Đau hai bàn chân do bệnh lý thần kinh ngoại biên Cận lâm sàng: Kết quả chẩn đoán hình ảnh - Đo sức bền cơ tim bằng đồng vị phóng xạ kết quả có dị tật cố định vùng tr"
bệnh mạch máu ngoại biên,CHẨN_ĐOÁN,2,I73.9,bệnh mạch máu ngoại biên,1,"-Hút thuốc lá: Thành phần trong thuốc lá gây hỏng men răng, gai lưỡi phát triển quá mức khiến vi khuẩn xâm nhập, gây hôi miệng, chảy máu chân răng và mất răng. - bệnh mạch máu ngoại biên - bệnh phổi tắc nghẽn mạn tính || - suy tim - bệnh mạch máu ngoại biên - bệnh phổi tắc nghẽn mạn tính"
bệnh phổi tắc nghẽn mạn tính,CHẨN_ĐOÁN,2,J44.9,bệnh phổi tắc nghẽn mạn tính,1,- bệnh mạch máu ngoại biên - bệnh phổi tắc nghẽn mạn tính - Ngưng thở khi ngủ do tắc nghẽn đang dùng BiPAP
"bệnh phổi tắc nghẽn mạn tính, không xác định",CHẨN_ĐOÁN,2,J44.9,"bệnh phổi tắc nghẽn mạn tính, không xác định",1,"1. Tiền sử bệnh Các bệnh lý mạn tính - Ung thư biểu mô tuyến đại tràng - bệnh phổi tắc nghẽn mạn tính, không xác định - Đái tháo đường - xơ gan do rượu Tiền sử phẫu thuật / thủ thuật: Dựa trên tiền sử phẫu thuật mới được bổ sung: ""Phẫu thuật mở cắt nối trực tràng/đại tràng sigma vì ung thư tuyến đại tràng Các yếu tố nguy cơ liên quan: xơ gan do rượu 2."
bệnh thận mạn tính,CHẨN_ĐOÁN,2,N18.9,Bệnh thận mạn tính,1,Suy tim không do thiếu máu cơ tim (theo chẩn đoán trước đây). Bệnh thận mạn tính. Thuốc trước khi nhập viện
bệnh thủy đậu/zona,CHẨN_ĐOÁN,2,B01.9|B02.9,Bệnh thủy đậu/Zona,1,hiễm khám 3. Đánh giá tại bệnh viện Các phát hiện chẩn đoán khác: Lo ngại về Nhiễm virus Herpes simplex (HSV) hoặc Bệnh thủy đậu/Zona (do Varicella Zoster Virus)
bệnh tim mạch,CHẨN_ĐOÁN,2,Z13.6,bệnh tim mạch,1,• Nam giới • Tiền sử gia đình bệnh tim mạch sớm Có thể thay đổi || Các bệnh mãn tính: Không có tiền sử bệnh tim mạch hoặc thận bệnh nào được biết đến Thuốc trước khi nhập viện lần này: đang dùng methadone
bệnh tim mạch do xơ vữa động mạch,CHẨN_ĐOÁN,2,I25.1,Bệnh tim mạch do xơ vữa động mạch,1,Tiền sử bệnh lý Bệnh tim mạch do xơ vữa động mạch. ăng huyết áp.Rối loạn lipid máu.
bệnh động mạch vành,CHẨN_ĐOÁN,2,I25.1,bệnh động mạch vành,1,"Câu hỏi của người dùng gửi đến hệ thống Chào Bác sĩ, mẹ em bị bệnh động mạch vành đã nhiều năm. Đi khám bệnh Bác sĩ kê cho thuốc Vastarel và *********. || 1. Tiền sử bệnh Bệnh lý mãn tính: bệnh động mạch vành, bệnh lý thần kinh ngoại biên 2."
